family,config_id,published,params,val_mae_20,val_mae_60,val_mae_120,val_mae_250,val_mae_mean
lightgbm,0,True,"{""num_leaves"": 2633, ""max_depth"": 8, ""min_data_in_leaf"": 700, ""learning_rate"": 0.05, ""feature_fraction"": 0.99, ""bagging_fraction"": 0.74, ""bagging_freq"": 3}",26.790970621660346,46.949255745560116,62.81188120809403,77.02648013381345,53.39464692728198
lightgbm,1,False,"{""num_leaves"": 31, ""max_depth"": -1, ""min_data_in_leaf"": 20, ""learning_rate"": 0.05, ""feature_fraction"": 1.0, ""bagging_fraction"": 1.0, ""bagging_freq"": 0}",28.978455452760183,47.0271637637635,64.49167717182918,76.28553278879464,54.195707294286876
lightgbm,2,False,"{""num_leaves"": 63, ""max_depth"": -1, ""min_data_in_leaf"": 20, ""learning_rate"": 0.1, ""feature_fraction"": 0.9, ""bagging_fraction"": 0.8, ""bagging_freq"": 1}",30.518372063905566,47.337594332093076,63.646865458749886,76.44168951611405,54.48613034271565
lightgbm,3,False,"{""num_leaves"": 127, ""max_depth"": 8, ""min_data_in_leaf"": 100, ""learning_rate"": 0.05, ""feature_fraction"": 0.9, ""bagging_fraction"": 0.8, ""bagging_freq"": 1}",32.21369355988576,48.20612479946295,64.01965682794716,75.5348132886019,54.99357211897444
lightgbm,4,False,"{""num_leaves"": 255, ""max_depth"": 10, ""min_data_in_leaf"": 100, ""learning_rate"": 0.05, ""feature_fraction"": 0.8, ""bagging_fraction"": 0.8, ""bagging_freq"": 1}",32.31058182050323,46.92074894507054,63.64273712694616,75.3481329486247,54.55555021028616
lightgbm,5,False,"{""num_leaves"": 511, ""max_depth"": 10, ""min_data_in_leaf"": 300, ""learning_rate"": 0.05, ""feature_fraction"": 0.9, ""bagging_fraction"": 0.8, ""bagging_freq"": 1}",27.942928069290964,47.600165682321105,62.639920051434636,74.5137219719776,53.17418394375608
lightgbm,6,False,"{""num_leaves"": 1023, ""max_depth"": 12, ""min_data_in_leaf"": 300, ""learning_rate"": 0.03, ""feature_fraction"": 0.9, ""bagging_fraction"": 0.7, ""bagging_freq"": 3}",38.98131790112061,55.91420731139918,72.20856744574367,82.98783565854919,62.52298207920317
lightgbm,7,False,"{""num_leaves"": 2633, ""max_depth"": 8, ""min_data_in_leaf"": 700, ""learning_rate"": 0.1, ""feature_fraction"": 0.99, ""bagging_fraction"": 0.74, ""bagging_freq"": 3}",26.189695936511143,47.7978190220342,63.072561078501316,76.29949631896014,53.3398930890017
lightgbm,8,False,"{""num_leaves"": 4095, ""max_depth"": 12, ""min_data_in_leaf"": 1000, ""learning_rate"": 0.05, ""feature_fraction"": 0.8, ""bagging_fraction"": 0.7, ""bagging_freq"": 3}",24.61608318511171,44.759498189510424,62.5174175985049,74.63168566567504,51.631171159700514
lightgbm,9,False,"{""num_leaves"": 255, ""max_depth"": -1, ""min_data_in_leaf"": 50, ""learning_rate"": 0.1, ""feature_fraction"": 1.0, ""bagging_fraction"": 0.9, ""bagging_freq"": 1}",36.39750476949401,45.93542908390919,64.89131765969968,77.08884019264302,56.07827292643648
mlp,0,True,"{""h1"": 128, ""h2"": 64, ""drop"": 0.47, ""lr"": 0.0034}",42.50578839228468,53.61669944728864,63.95730353464203,84.44365356163472,61.13086123396252
mlp,1,False,"{""h1"": 128, ""h2"": 64, ""drop"": 0.1, ""lr"": 0.001}",34.1812958201821,49.510259311972504,64.93391791014344,94.59793323916051,60.80585157036464
mlp,2,False,"{""h1"": 128, ""h2"": 64, ""drop"": 0.3, ""lr"": 0.003}",33.82548032897813,45.314652313347324,58.23948832865716,78.03409497207726,53.853428985764964
mlp,3,False,"{""h1"": 256, ""h2"": 128, ""drop"": 0.3, ""lr"": 0.001}",35.24875626703898,50.47439838594562,64.8621659357341,89.54292557136324,60.03206154002048
mlp,4,False,"{""h1"": 256, ""h2"": 128, ""drop"": 0.47, ""lr"": 0.0034}",41.240875721741304,51.92685307518109,65.9365609270638,87.67887937324629,61.69579227430812
mlp,5,False,"{""h1"": 64, ""h2"": 32, ""drop"": 0.1, ""lr"": 0.01}",32.32869871503101,43.659280834327184,56.06942232507802,79.74952282432648,52.95173117469067
mlp,6,False,"{""h1"": 512, ""h2"": 256, ""drop"": 0.3, ""lr"": 0.001}",33.6777308368218,50.53086024537204,69.46155145134625,102.12518113363008,63.948830916792545
mlp,7,False,"{""h1"": 128, ""h2"": 64, ""drop"": 0.47, ""lr"": 0.01}",56.20029737815583,66.68214663858295,73.62507007138146,86.46618056554263,70.74342366341571
mlp,8,False,"{""h1"": 256, ""h2"": 128, ""drop"": 0.1, ""lr"": 0.003}",29.252634679273207,47.09902019821831,67.97913511285667,95.15475658373053,59.871386643519685
mlp,9,False,"{""h1"": 64, ""h2"": 32, ""drop"": 0.3, ""lr"": 0.0034}",39.82613913789102,52.142331609172395,68.61997830390747,90.18607100217093,62.69363001328546
lstm,0,True,"{""hidden"": 16, ""lr"": 0.01}",51.8659514500955,59.751558127259194,69.25686451670656,80.10781702156244,65.24554777890592
lstm,1,False,"{""hidden"": 32, ""lr"": 0.01}",43.27392911223488,55.60790862898963,65.91379825020796,81.45788244504111,61.563379609118385
lstm,2,False,"{""hidden"": 64, ""lr"": 0.01}",39.86512021718603,52.49689676390006,69.52422316518778,95.43245594828329,64.32967402363928
lstm,3,False,"{""hidden"": 128, ""lr"": 0.01}",38.32874320047966,52.05472296805708,68.84063407685673,93.42585451811055,63.162488690876
lstm,4,False,"{""hidden"": 16, ""lr"": 0.003}",71.39401080933963,81.18118200806606,90.71747643736647,102.56417700000075,86.46421156369324
lstm,5,False,"{""hidden"": 32, ""lr"": 0.003}",50.91109752216709,61.699328172875255,71.17162033611429,89.97015511710475,68.43805028706535
lstm,6,False,"{""hidden"": 64, ""lr"": 0.003}",44.48695496434753,56.737552861372,67.94523126594763,90.85359532443435,65.00583360402538
lstm,7,False,"{""hidden"": 128, ""lr"": 0.003}",41.29752004682583,54.9045459413902,69.00196703620645,96.78253517618695,65.49664205015236
lstm,8,False,"{""hidden"": 64, ""lr"": 0.001}",52.53617782704674,64.88243289264774,72.75370197798807,92.77723733782607,70.73738750887716
lstm,9,False,"{""hidden"": 128, ""lr"": 0.001}",42.89558101373624,53.543785420195036,66.05634672198278,93.82977234490902,64.08137137520576
transformer,0,True,"{""d_model"": 32, ""layers"": 2, ""nhead"": 4, ""lr"": 0.003}",60.0827275660271,66.45373690683799,70.42082186852484,104.77524732308657,75.43313341611912
transformer,1,False,"{""d_model"": 64, ""layers"": 2, ""nhead"": 4, ""lr"": 0.003}",49.37222805817622,56.98015321664524,64.296166059047,92.83949274744523,65.87201002032842
transformer,2,False,"{""d_model"": 64, ""layers"": 4, ""nhead"": 4, ""lr"": 0.001}",48.97760717039587,57.98468511634827,62.666135338496474,89.78984947060319,64.85456927396095
